Ticker,Date,Open,High,Low,Close,Adj_Close,Volume,NIFTY50_Row_Present
INFY.NS,2025-03-18,1590.050048828125,1590.050048828125,1590.050048828125,1590.050048828125,1511.6353759765625,0.0,True
INFY.NS,2026-01-15,1599.800048828125,1599.800048828125,1599.800048828125,1599.800048828125,1565.91455078125,0.0,False
INFY.NS,2026-05-01,1181.800048828125,1181.800048828125,1181.800048828125,1181.800048828125,1156.768310546875,0.0,False
INFY.NS,2026-05-28,1159.9000244140625,1159.9000244140625,1159.9000244140625,1159.9000244140625,1135.3321533203125,0.0,False
INFY.NS,2026-06-26,1041.199951171875,1041.199951171875,1041.199951171875,1041.199951171875,1041.199951171875,0.0,False
ITC.NS,2026-01-15,334.75,334.75,334.75,334.75,319.182861328125,0.0,False
ITC.NS,2026-05-01,314.8999938964844,314.8999938964844,314.8999938964844,314.8999938964844,306.548583984375,0.0,False
ITC.NS,2026-05-28,291.95001220703125,291.95001220703125,291.95001220703125,291.95001220703125,291.95001220703125,0.0,False
ITC.NS,2026-06-26,290.0,290.0,290.0,290.0,290.0,0.0,False
KOTAKBANK.NS,2025-03-18,398.6199951171875,398.6199951171875,398.6199951171875,398.6199951171875,397.4747009277344,0.0,True
KOTAKBANK.NS,2026-01-15,421.0,421.0,421.0,421.0,420.2744140625,0.0,False
KOTAKBANK.NS,2026-05-01,383.2999877929688,383.2999877929688,383.2999877929688,383.2999877929688,382.6393737792969,0.0,False
KOTAKBANK.NS,2026-05-28,388.7000122070313,388.7000122070313,388.7000122070313,388.7000122070313,388.0300903320313,0.0,False
KOTAKBANK.NS,2026-06-26,409.0,409.0,409.0,409.0,408.2951049804688,0.0,False
LT.NS,2025-03-18,3173.449951171875,3173.449951171875,3173.449951171875,3173.449951171875,3113.7138671875,0.0,True
LT.NS,2026-01-15,3865.800048828125,3865.800048828125,3865.800048828125,3865.800048828125,3828.40673828125,0.0,False
LT.NS,2026-05-01,4014.0,4014.0,4014.0,4014.0,3975.173095703125,0.0,False
LT.NS,2026-05-28,4047.5,4047.5,4047.5,4047.5,4047.5,0.0,False
LT.NS,2026-06-26,4216.39990234375,4216.39990234375,4216.39990234375,4216.39990234375,4216.39990234375,0.0,False
MARUTI.NS,2025-03-18,11553.7001953125,11553.7001953125,11553.7001953125,11553.7001953125,11316.337890625,0.0,True
MARUTI.NS,2026-01-15,16152.0,16152.0,16152.0,16152.0,15991.3974609375,0.0,False
MARUTI.NS,2026-05-01,13314.0,13314.0,13314.0,13314.0,13181.6162109375,0.0,False
MARUTI.NS,2026-05-28,13364.0,13364.0,13364.0,13364.0,13231.119140625,0.0,False
MARUTI.NS,2026-06-26,13745.0,13745.0,13745.0,13745.0,13608.3310546875,0.0,False
NTPC.NS,2025-03-18,331.6499938964844,331.6499938964844,331.6499938964844,331.6499938964844,319.66925048828125,0.0,True
NTPC.NS,2026-01-15,349.1000061035156,349.1000061035156,349.1000061035156,349.1000061035156,342.78125,0.0,False
NTPC.NS,2026-05-01,399.1499938964844,399.1499938964844,399.1499938964844,399.1499938964844,394.88427734375,0.0,False
NTPC.NS,2026-05-28,398.1499938964844,398.1499938964844,398.1499938964844,398.1499938964844,393.89495849609375,0.0,False
NTPC.NS,2026-06-26,352.04998779296875,352.04998779296875,352.04998779296875,352.04998779296875,348.2876281738281,0.0,False
POWERGRID.NS,2025-03-18,267.3500061035156,267.3500061035156,267.3500061035156,267.3500061035156,257.6876525878906,0.0,True
POWERGRID.NS,2026-01-15,258.3500061035156,258.3500061035156,258.3500061035156,258.3500061035156,254.2967071533203,0.0,False
POWERGRID.NS,2026-05-01,318.3500061035156,318.3500061035156,318.3500061035156,318.3500061035156,316.8731384277344,0.0,False
POWERGRID.NS,2026-05-28,300.1499938964844,300.1499938964844,300.1499938964844,300.1499938964844,298.757568359375,0.0,False
POWERGRID.NS,2026-06-26,283.8999938964844,283.8999938964844,283.8999938964844,283.8999938964844,282.5829467773437,0.0,False
RELIANCE.NS,2025-03-18,1238.8499755859375,1238.8499755859375,1238.8499755859375,1238.8499755859375,1228.242919921875,0.0,True
RELIANCE.NS,2026-01-15,1458.800048828125,1458.800048828125,1458.800048828125,1458.800048828125,1452.086181640625,0.0,False
RELIANCE.NS,2026-05-01,1430.800048828125,1430.800048828125,1430.800048828125,1430.800048828125,1424.215087890625,0.0,False
RELIANCE.NS,2026-05-28,1350.5,1350.5,1350.5,1350.5,1344.2845458984375,0.0,False
RELIANCE.NS,2026-06-26,1318.0999755859375,1318.0999755859375,1318.0999755859375,1318.0999755859375,1318.0999755859375,0.0,False
SBIN.NS,2025-03-18,723.1500244140625,723.1500244140625,723.1500244140625,723.1500244140625,696.36328125,0.0,True
SBIN.NS,2026-01-15,1028.3499755859375,1028.3499755859375,1028.3499755859375,1028.3499755859375,1010.14208984375,0.0,False
SBIN.NS,2026-05-01,1068.449951171875,1068.449951171875,1068.449951171875,1068.449951171875,1049.5321044921875,0.0,False
SBIN.NS,2026-05-28,967.7999877929688,967.7999877929688,967.7999877929688,967.7999877929688,967.7999877929688,0.0,False
SBIN.NS,2026-06-26,1045.4000244140625,1045.4000244140625,1045.4000244140625,1045.4000244140625,1045.4000244140625,0.0,False
