UID,Title,Authors,Year,Venue,DOI,Abstract,Keywords,Document_Type,Scopus,ScienceDirect,Elicit,Query_Hits,Master_ID,Document_Class,Stock_Domain,Eligible_Target,AI_ML_DL,Empirical_Evaluation,Strong_Stock_Target_Context,Adjacent_Target_Context,NonStock_Domain_Context,Direct_Core_Evidence,Strategic_Theme_Count,Relevance_Score,Working_Relevance_Tier,Research_Use,Elicit_Priority,Gap_Dimensions_Evidenced,Stock_Evidence,Target_Evidence,AI_Evidence,Empirical_Evidence,Stock_Target_Sentence_Evidence,Adjacent_Evidence,NonStock_Evidence,Historical_Data,Technical_Indicators,Fundamental_Data,Financial_News,Social_Media,Sentiment,FinBERT_BERT_RoBERTa,LLM_FinGPT,Multimodal,Fusion,Transformer_Attention,LSTM_GRU,Optimization,Metaheuristic,XAI,Temporal_Validation,Indian_Market,Multi_Stock,Historical_Data_Evidence,Technical_Indicators_Evidence,Fundamental_Data_Evidence,Financial_News_Evidence,Social_Media_Evidence,Sentiment_Evidence,FinBERT_BERT_RoBERTa_Evidence,LLM_FinGPT_Evidence,Multimodal_Evidence,Fusion_Evidence,Transformer_Attention_Evidence,LSTM_GRU_Evidence,Optimization_Evidence,Metaheuristic_Evidence,XAI_Evidence,Temporal_Validation_Evidence,Indian_Market_Evidence,Multi_Stock_Evidence
doi:10.1007/s44163-025-00395-6,Metaheuristic-optimized ANFIS and ANN models for stock price forecasting: evidence from the Borsa Istanbul 100 index,Kazak H.; Kumar S.; Gündüz M.A.; Akcan A.T.; Bilgiç H.H.,2025,Discover Artificial Intelligence,10.1007/s44163-025-00395-6,"As financial markets worldwide continue to evolve, the importance of predictive models for investors and analysts is growing. This paper presents a comparative analysis of metaheuristic-based Adaptive Neuro-Fuzzy Inference System (ANFIS) and Artificial Neural Network (ANN) models for predicting stock prices in the Borsa Istanbul 100 (BIST 100) index. Using a comprehensive dataset of weekly data (2010–2023), researchers tested different model configurations, and the ANFIS model was improved with Particle Swarm Optimization (PSO) and Ant Colony Optimization (ACO). Model performance was evaluated using performance criteria such as Mean Squared Error (MSE), Mean Absolute Error (MAE), and R-squared (R2). The results showed that, in particular, the ANFIS-PSO and ANN-based approaches exhibited higher accuracy compared to traditional regression methods. The study also analyzed the impact of various macroeconomic and financial indicators, including the gold/TL exchange rate, VIX index, and government bond interest rates, on the BIST 100. The findings reveal that artificial intelligence-based modeling significantly improves stock price forecasts thanks to its adaptability to dynamic market conditions. In this respect, the study makes theoretical contributions and highlights practical implications for investment strategies and risk management. Future research can further enrich the financial modeling literature by testing the validity of similar approaches in other emerging or developed markets, as well as by incorporating additional macroeconomic factors and different meta-heuristic algorithms into the model. © The Author(s) 2025.",Adaptive Neuro-Fuzzy inference systems (ANFIS); And ant colony optimization (ACO); Artificial neural networks (ANN); BIST 100 index; Particle swarm optimization (PSO); Predictive modeling; Stock market forecasting; Ant colony optimization; Commerce; Costs; Electronic trading; Financial markets; Forecasting; Fuzzy inference; Fuzzy systems; Heuristic algorithms; Investments; Mean square error; Neural networks; Prediction models; Regression analysis; Risk management; Swarm intelligence; Adaptive neuro-fuzzy inference; Adaptive neuro-fuzzy inference system; And ant colony optimization; Ant colonies; Artificial neural network; Borsa istanbul 100 index; Colony optimization; Istanbul; Neural-networks; Neuro-fuzzy inference systems; Particle swarm; Particle swarm optimization; Predictive models; Stock market forecasting; Swarm optimization; Particle swarm optimization (PSO),Article,Yes,No,No,SC01,M-0376,Primary/Other,Yes,Price,Yes,Yes,Yes,No,Forex,Yes,2,19,A_Direct_Methodological_Priority,Detailed extraction for gap and methodology design,Low,Optimization; Metaheuristic,bist; stock market; stock price; stock prices,price forecasting; stock price; stock prices,artificial intelligence; artificial neural network; artificial neural networks; neural network; neural networks,accuracy; comparative; dataset; evaluated; mae; mse; r-squared; r2; testing,Metaheuristic-optimized ANFIS and ANN models for stock price forecasting: evidence from the Borsa Istanbul 100 index || This paper presents a comparative analysis of metaheuristic-based Adaptive Neuro-Fuzzy Inference System (ANFIS) and Artificial Neural Network (ANN) models for predicting stock prices in the Borsa Istanbul 100 (BIST 100) index. || The findings reveal that artificial intelligence-based modeling significantly improves stock price forecasts thanks to its adaptability to dynamic market conditions.,,exchange rate,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Yes,Unclear,Unclear,Unclear,Unclear,,,,,,,,,,,,,metaheuristic; optimized; swarm intelligence,ant colony; particle swarm; pso,,,,
doi:10.1016/j.pacfin.2025.102946,Multi-factor portfolio optimization: A combined random Forest–AdaBoost model with cost-sensitive learning1,Yao H.; Wan C.,2025,Pacific Basin Finance Journal,10.1016/j.pacfin.2025.102946,"This paper proposes a machine learning-driven multi-factor investment strategy, denoted as DE-CS-RFA, which integrates the Random Forest-AdaBoost (RFA) ensemble learning model, Cost-Sensitive (CS) learning, and the Differential Evolution algorithm (DE). The model utilizes 110 heterogeneous predictive features as input characteristics, eliminating redundant features via Kendall correlation analysis to enhance computational efficiency while comprehensively capturing market information. Subsequently, the Rank-Sum Ratio comprehensive evaluation method is employed to construct the initial investment universe and to develop an investment strategy based on the model's predicted data. Empirical results demonstrate that RFA outperforms other mainstream machine learning models on multiple evaluation metrics. Moreover, the simulation trading results indicate that the DE-CS-RFA model can effectively capture the market complexity and individual investor differences, enhancing the applicability and effectiveness of the investment strategy. Interpretability analysis further reveals the key factors influencing the stock price trends in the A-share market. Finally, robustness tests confirm that the DE-CS-RFA model can adapt to diverse financial market characteristics, holding potential to promote the widespread application of multi-factor investment strategies in the A-share market. © 2025 Elsevier B.V. All rights are reserved, including those for text and data mining, AI training, and similar technologies.",Cost-sensitive learning; Ensemble learning; Investment strategy; Multi-factor model; Portfolio optimization,Article,Yes,No,No,SC01; SC05,M-1275,Primary/Other,Yes,Price; Trend,Yes,Yes,Yes,Yes,,Yes,2,19,A_Direct_Methodological_Priority,Detailed extraction for gap and methodology design,Low,Metaheuristic; XAI,a-share; stock price,price trends; stock price,ensemble learning; machine learning; random forest,evaluation; outperforms; results demonstrate; training,Interpretability analysis further reveals the key factors influencing the stock price trends in the A-share market.,portfolio optimization,,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Yes,Unclear,Unclear,Unclear,,,,,,,,,,,,,,differential evolution,interpretability,,,
doi:10.1038/s41598-025-88883-8,Multiple objectives escaping bird search optimization and its application in stock market prediction based on transformer model,Wei D.; Wang Z.; Qiu M.; Yu J.; Yu J.; Jin Y.; Sha X.; Ouyang K.,2025,Scientific Reports,10.1038/s41598-025-88883-8,"Stock market prediction has long attracted the attention of academia and industry due to its potential for substantial financial returns. Despite the availability of various forecasting methods, such as CNN, LSTM, BiLSTM, GRU, and Transformer, the hyperparameter optimization of these models often faces limitations, particularly in single-objective optimization, where they can easily fall into local optima. To address this issue, this paper proposes an innovative multi-objective optimization algorithm—the Multi-Objective Escape Bird Algorithm (MOEBS)—and introduces the MOEBS-Transformer architecture to enhance the efficiency and effectiveness of hyper-parameter optimization for Transformer models. This study first validates the performance of MOEBS through a series of multi-objective benchmark tests on standard problem sets such as ZDT, DTLZ, and WFG, comparing it with other multi-objective optimization algorithms (e.g., MOMVO, MSSA, and MOEAD) using evaluation metrics such as GD, Spacing, IGD, and HV for comprehensive analysis. In the context of stock price prediction, we select the closing price datasets of Amazon, Google, and Uniqlo, using MOEBS to optimize the core hyper parameters of the Transformer while considering multiple objectives, including training set RMSE, testing set RMSE, and testing set error variance. In the experiments, this paper first compares CNN, LSTM, BiLSTM, GRU, and traditional Transformer models to establish the Transformer as the optimal model for stock market prediction. Subsequently, the study compares the MOEBS-Transformer with Transformer models optimized using various hyperparameter optimization methods, including MOMVO-Transformer, MSSA-Transformer, and MOEAD-Transformer. Additionally, it evaluates Transformer models optimized through conventional methods: Random Search (RS-Transformer), Grid Search (GS-Transformer), and Bayesian Optimization (BO-Transformer). By assessing the performance of these models using R2, RMSE, and RPD metrics on both training and testing sets, the results demonstrate that the Transformer model optimized by MOEBS significantly outperforms the other methods in terms of prediction accuracy and prediction stability. This research offers a new solution for complex optimization scenarios and lays a foundation for advancements in stock market prediction technologies. © The Author(s) 2025.",Escaping bird search; Hyper-parameter optimization; Multi-objective optimization; Stock price prediction; Transformer; immunoglobulin D; algorithm; article; benchmarking; bird; forecasting; human; methicillin susceptible Staphylococcus aureus; multiobjective optimization; prediction; root mean squared error; stock market,Article,Yes,No,No,SC01; SC04,M-1504,Primary/Other,Yes,Price,Yes,Yes,Yes,No,,Yes,2,19,A_Direct_Methodological_Priority,Detailed extraction for gap and methodology design,Low,Transformer_Attention; Optimization,stock market; stock price,closing price; price prediction; stock price,attention; cnn; gru; lstm; transformer,accuracy; benchmark; datasets; evaluation; experiments; outperforms; r2; results demonstrate; rmse; testing; training,"Multiple objectives escaping bird search optimization and its application in stock market prediction based on transformer model || Stock market prediction has long attracted the attention of academia and industry due to its potential for substantial financial returns. || In the context of stock price prediction, we select the closing price datasets of Amazon, Google, and Uniqlo, using MOEBS to optimize the core hyper parameters of the Transformer while considering multiple objectives, including training set RMSE, testing set RMSE, and testing set error variance. || In the experiments, this paper first compares CNN, LSTM, BiLSTM, GRU, and traditional Transformer models to establish the Transformer as the optimal model for stock market prediction. || This research offers a new solution for complex optimization scenarios and lays a foundation for advancements in stock market prediction technologies. © The Author(s) 2025.",,,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,closing price,,,,,,,,,,transformer,bilstm; gru; lstm,bayesian optimization; grid search; hyperparameter optimization; optimized; random search,,,,,
doi:10.1504/ijipt.2025.148574,Optimising AdaBoost with bio-inspired algorithms for stock market prediction: a comparative study on Hang Seng index,Feng C.; Huang K.; Wang W.; Yu X.,2025,International Journal of Internet Protocol Technology,10.1504/ijipt.2025.148574,"This study presented a new integrated forecasting model for improving the accuracy of stock price predictions for the Hang Seng Index. Using the ensemble learning theory, this research constructs the core modelling engine based on Adaptive Boosting (AdaBoost) is fine-tuned using three metaheuristic optimisation approaches: Particle Swarm Optimisation, Antlion Optimisation and Biogeography-Based Optimisation. These algorithms are based on nature search for optimising AdaBoost hyperparameters such as the number of estimators, learning rate and complexity of the base learner to improve generalisation and minimise prediction errors. The BBO-AdaBoost was the most superior one. A data set including daily HSI stock prices (open, high, low, close) and volume were obtained from 2015 to 2023. The data were min-max normalised and were split into 80:20 for training and testing. The results show that the BBO-AdaBoost achieved the best result with the least MAPE of 2.29%, outperforming both the stand-alone AdaBoost and other hybrid models. Copyright © 2025 Inderscience Enterprises Ltd.",adaptive boosting; antlion optimisation; biogeography-based optimisation; financial market forecasting; Hang Seng index; hybrid forecasting model; machine learning; particle swarm optimisation; stock price prediction; time series analysis; Adaptive boosting; Artificial intelligence; Bioinformatics; Biomimetics; Commerce; Costs; Ecology; Electronic trading; Financial markets; Forecasting; Learning systems; Particle swarm optimization (PSO); Antlion optimization; Biogeography-based optimizations; Financial market forecasting; Forecasting models; Hang seng index; Hybrid forecasting; Hybrid forecasting model; Machine-learning; Market forecasting; Optimisations; Particle swarm; Particle swarm optimization; Stock price prediction; Swarm optimization; Time-series analysis; Time series analysis,Article,Yes,No,No,SC01,M-2102,Primary/Other,Yes,Price,Yes,Yes,Yes,No,,Yes,2,19,A_Direct_Methodological_Priority,Detailed extraction for gap and methodology design,Low,Optimization; Metaheuristic,hang seng; stock market; stock price; stock prices,price prediction; stock price; stock prices,artificial intelligence; ensemble learning; hybrid models; machine learning,accuracy; comparative; data set; mape; results show; testing; training,"Optimising AdaBoost with bio-inspired algorithms for stock market prediction: a comparative study on Hang Seng index || This study presented a new integrated forecasting model for improving the accuracy of stock price predictions for the Hang Seng Index. || A data set including daily HSI stock prices (open, high, low, close) and volume were obtained from 2015 to 2023.",,,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Yes,Unclear,Unclear,Unclear,Unclear,time series; volume,,,,,,,,,,,,metaheuristic,particle swarm; pso,,,,
doi:10.1109/itaic64559.2025.11163175,Optimizing Convolutional Neural Networks Architectures with Genetic Algorithms for Enhanced Time Series Prediction,Fang C.-Y.; Hung J.-C.,2025,IEEE Joint International Information Technology and Artificial Intelligence Conference (ITAIC),10.1109/itaic64559.2025.11163175,"This study explores the application of convolutional neural networks (CNNs) in financial time series forecasting, specifically within the stock market domain. Given the dynamic and irregular nature of stock market data, this research proposes CNN architectures tailored to effectively capture these patterns. The simultaneous optimization of CNN parameters and architectures presents a highly nonlinear and complex problem. To address this challenge, we introduce an iterative optimization framework leveraging genetic algorithms (GAs) for parameter estimation. The GA-based approach is designed to efficiently navigate the solution space, achieving a globally optimal configuration with accelerated convergence. Experimental results demonstrate that incorporating both architectural and parametric optimization significantly enhances the model's performance, yielding superior in-sample estimation accuracy and improved out-of-sample next-day stock price predictions. © 2025 IEEE.",Convolutional Neural Network; Deep Learning; Genetic Algorithm; Time Series; Architecture; Commerce; Convolution; Convolutional neural networks; Deep neural networks; Electronic trading; Financial markets; Forecasting; Iterative methods; Learning algorithms; Memory architecture; Parameter estimation; Time series; Convolutional neural network; Deep learning; Financial time series forecasting; Market data; Neural network architecture; Neural network parameters; Nonlinear problems; Simultaneous optimization; Time series prediction; Times series; Genetic algorithms,Conference paper,Yes,No,No,SC06,M-1786,Conference,Yes,Price,Yes,Yes,Yes,No,,Yes,2,19,A_Direct_Methodological_Priority,Detailed extraction for gap and methodology design,Low,Metaheuristic; Temporal_Validation,stock market; stock price,stock price,cnn; convolutional; deep learning; deep neural; neural network; neural networks,accuracy; experimental; results demonstrate,"This study explores the application of convolutional neural networks (CNNs) in financial time series forecasting, specifically within the stock market domain. || Experimental results demonstrate that incorporating both architectural and parametric optimization significantly enhances the model's performance, yielding superior in-sample estimation accuracy and improved out-of-sample next-day stock price predictions. © 2025 IEEE.",,,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Yes,Unclear,Unclear,market data; time series,,,,,,,,,,,,,genetic algorithm,,out-of-sample,,
doi:10.1016/j.procs.2025.05.119,Research on High Frequency Financial Transaction Data Modeling and Cloud Computing Implementation Based on SSA-GA-BP Model,Chenyang An,2025,Procedia Computer Science,10.1016/j.procs.2025.05.119,"This article aims to study the modeling of high-frequency financial trading data and its cloud computing implementationWith the swift advancement of big data, cloud computing, and AI technologies, algorithmic trading has emerged as a crucial tool in today’s financial sector. Especially in high-frequency trading, programmatic trading can capture micro changes in the market in real time, thereby improving the efficiency of trading decisions. To enhance the precision of stock price forecasting in high-frequency trading, this paper presents a forecasting approach utilizing the SSA-GA-BP model.In particular, the BP neural network is initially employed for forecasting stock prices, while the evolutionary method and sparrow optimization algorithm are applied to optimize the weights and thresholds of the network, thereby solving the problems of local extremum and convergence speed of the BP model. Secondly, combining with entanglement morphology, two high-frequency trading strategies were designed and implemented, and the strategies were optimized with the support of SSA-GA-BP model, improving the accuracy of buying and selling point recognition and trading stability. The results from the experiments demonstrate that the suggested model has strong fitting ability in predicting stock prices in high-frequency trading, and the optimized trading strategy can provide a higher Sharpe ratio, demonstrating stable return ability.","Neural Network, Genetic Algorithm, Sparrow Search Algorithm, Stock Trading",Article,No,Yes,No,SD01,M-1360,Primary/Other,Yes,Price,Yes,Yes,Yes,Yes,,Yes,2,19,A_Direct_Methodological_Priority,Detailed extraction for gap and methodology design,Low,Optimization; Metaheuristic,stock price; stock prices,price forecasting; stock price; stock prices,neural network,accuracy; experiments; precision,"To enhance the precision of stock price forecasting in high-frequency trading, this paper presents a forecasting approach utilizing the SSA-GA-BP model.In particular, the BP neural network is initially employed for forecasting stock prices, while the evolutionary method and sparrow optimization algorithm are applied to optimize the weights and thresholds of the network, thereby solving the problems of local extremum and convergence speed of the BP model. || The results from the experiments demonstrate that the suggested model has strong fitting ability in predicting stock prices in high-frequency trading, and the optimized trading strategy can provide a higher Sharpe ratio, demonstrating stable return ability.",algorithmic trading; trading decisions; trading strategies; trading strategy,,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Yes,Unclear,Unclear,Unclear,Unclear,,,,,,,,,,,,,optimized,genetic algorithm; sparrow search,,,,
doi:10.1016/j.finr.2025.100019,Stock market prediction with optimized PLSTM-AL in smart urban cities,David Opeoluwa Oyewola and Temitope Olubanjo Kehinde and Sulaiman Awwal Akinwunmi and Al-musbahu Abdulrahim,2025,Finance Research Open,10.1016/j.finr.2025.100019,"Accurate stock market forecasting is crucial for investors and participants, as even minor improvements in prediction accuracy can significantly impact revenue. However, forecasting is challenging due to the noise, complexity, and volatility inherent in stock data. Recent advancements in deep learning have led to the development of robust models for sequence prediction. This study introduces PLSTM-AL, a novel stock market forecasting model that integrates Pareto-like sequential sampling optimization, Long Short-Term Memory (LSTM), and an Attention Layer. This combination enhances forecasting accuracy, particularly for stock market direction. The model is tested using daily data from five global indices spanning 2003–2024, and the prediction results were compared with other sophisticated deep learning models like Convolutional Neural Network (CNN) and Gated Recurrent Unit (GRU) models. Results demonstrate that PLSTM-AL outperforms these models, achieving high evaluation scores across most datasets, hence, confirming its robustness and effectiveness in stock market prediction.","Pareto sequential sampling, Convolutional neural network, Gated recurrent unit, Attention Layer, Deep learning",Article,No,Yes,No,SD01; SD02; SD03; SD04; SD05,M-0850,Primary/Other,Yes,Direction/Movement,Yes,Yes,Yes,No,,Yes,2,19,A_Direct_Methodological_Priority,Detailed extraction for gap and methodology design,Low,Optimization; Multi_Stock,stock market,market direction,attention; cnn; convolutional; deep learning; gru; lstm; neural network,accuracy; datasets; evaluation; outperforms; results demonstrate,"Stock market prediction with optimized PLSTM-AL in smart urban cities || Accurate stock market forecasting is crucial for investors and participants, as even minor improvements in prediction accuracy can significantly impact revenue. || This study introduces PLSTM-AL, a novel stock market forecasting model that integrates Pareto-like sequential sampling optimization, Long Short-Term Memory (LSTM), and an Attention Layer. || This combination enhances forecasting accuracy, particularly for stock market direction. || Results demonstrate that PLSTM-AL outperforms these models, achieving high evaluation scores across most datasets, hence, confirming its robustness and effectiveness in stock market prediction.",,,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Yes,,,,,,,,,,,,gru; long short-term memory; lstm,optimized,,,,,global indices
doi:10.14569/ijacsa.2024.0150173,A Method to Increase the Analysis Accuracy of Stock Market Valuation: A Case Study of the Nasdaq Index,Niu H.,2024,International Journal of Advanced Computer Science and Applications,10.14569/ijacsa.2024.0150173,"For a significant period, conventional methodologies have been employed to assess fundamental and technical aspects in forecasting and analyzing stock market performance. The precision and availability of stock market predictions have been enhanced by machine learning. Various machine learning methods have been utilized for stock market predictions. A novel, optimized machine-learning approach for financial market analysis is aimed to be introduced by this study. A unique method for improving the accuracy of stock price forecasting by incorporating support vector regression with the slime mould algorithm is presented in the present work. Other optimization algorithms were employed to enhance the prediction accuracy and the convergence speed of the network, which were Biogeography-based optimization and Gray Wolf Optimizer. An assessment of the proposed model's effectiveness in predicting stock prices was conducted through research employing Nasdaq index data extending from January 1, 2015, to June 29, 2023. Substantial improvements in accuracy for the proposed model were indicated by the results compared to other models, with an R-squared value of 0.991, a root mean absolute error of 149.248, a mean absolute percentage error of 0.930, and a mean absolute error of 116.260. Furthermore, not only is the prediction accuracy enhanced by the integration of the proposed model, but the model's adaptability to dynamic market conditions is also increased. © (2024), (Science and Information Organization). All Rights Reserved.",gray wolf optimizer; Machine learning; Nasdaq index; slime mould algorithm; support vector regression; Commerce; Costs; Electronic trading; Errors; Forecasting; Heuristic algorithms; Machine learning; Gray wolf optimizer; Gray wolves; Machine-learning; Nasdaq index; Optimizers; Prediction accuracy; Slime mold algorithm; Slime moulds; Stock market prediction; Support vector regressions; Financial markets,Article,Yes,No,No,SC01,M-2050,Primary/Other,Yes,Price,Yes,Yes,Yes,No,,Yes,2,19,A_Direct_Methodological_Priority,Detailed extraction for gap and methodology design,Low,Optimization; Metaheuristic,nasdaq; stock market; stock price; stock prices,price forecasting; stock price; stock prices,machine learning; support vector,accuracy; precision; r-squared,"For a significant period, conventional methodologies have been employed to assess fundamental and technical aspects in forecasting and analyzing stock market performance. || A unique method for improving the accuracy of stock price forecasting by incorporating support vector regression with the slime mould algorithm is presented in the present work. || An assessment of the proposed model's effectiveness in predicting stock prices was conducted through research employing Nasdaq index data extending from January 1, 2015, to June 29, 2023.",,,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Yes,Unclear,Unclear,Unclear,Unclear,,,,,,,,,,,,,optimized,gray wolf,,,,
doi:10.1007/s10479-023-05715-6,A multi-criteria approach to evolve sparse neural architectures for stock market forecasting,Hafiz F.; Broekaert J.; La Torre D.; Swain A.,2024,Annals of Operations Research,10.1007/s10479-023-05715-6,"The development of machine learning based models to predict the movement of a financial market has been a challenging problem due to the low signal-to-noise ratio under the effect of an efficient market. Although, researchers have developed neural network based predictive models to address this issue, the selection of an appropriate neural architecture is seldom addressed. This study, therefore, proposes a new framework to evolve efficacious yet parsimonious neural architectures for the movement prediction of stock market indices using technical indicators as inputs. The proposed approach formulates the neural architecture search as a multi-criteria optimization problem to balance the efficacy with the complexity of architectures. In addition, the implications of different underlying trading tendencies, which may be present in the pre-COVID and peri-COVID time periods, are investigated. An ϵ-constraint framework is proposed as a remedy to extract remaining concordant information from the possibly partially conflicting pre-COVID data. Further, a new search paradigm, two-dimensional swarms (2DS) is proposed for the multi-criteria neural architecture search, which explicitly integrates sparsity as an additional search dimension in particle swarms. A detailed comparative evaluation of the proposed approach is carried out by considering genetic algorithm and several combinations of empirical neural design rules with a filter-based feature selection method (mRMR) as baseline approaches. The results of this study convincingly demonstrate that the proposed approach can evolve comparatively efficient and parsimonious networks. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2023.",Feature selection; Financial forecasting; Multi-criteria decision making; Neural architecture search; Two-dimensional swarms,Article,Yes,No,No,SC01,M-0111,Primary/Other,Yes,Direction/Movement,Yes,Yes,Yes,No,,Yes,2,19,A_Direct_Methodological_Priority,Detailed extraction for gap and methodology design,Medium,Technical_Indicators; Metaheuristic,market indices; stock market,movement prediction,machine learning; neural network,comparative; evaluation,"A multi-criteria approach to evolve sparse neural architectures for stock market forecasting || This study, therefore, proposes a new framework to evolve efficacious yet parsimonious neural architectures for the movement prediction of stock market indices using technical indicators as inputs.",,,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,,technical indicators,,,,,,,,,,,,genetic algorithm,,,,
doi:10.1515/econ-2022-0073,An Intelligent Approach for Predicting Stock Market Movements in Emerging Markets Using Optimized Technical Indicators and Neural Networks,Sagaceta-Mejía A.R.; Sánchez-Gutiérrez M.E.; Fresán-Figueroa J.A.,2024,Economics,10.1515/econ-2022-0073,"Integrating big data analytics and machine learning algorithms has become increasingly important in the fast-changing landscape of stock market investment. The numerical findings showcase the tangible impact of our methodology on the accuracy and efficiency of stock market trend predictions. Identifying and selecting the most salient features (technical indicators) is critical in predicting the trend direction of exchange-traded funds (ETFs) in emerging markets, leveraging financial and economic indicators. Our methodology encompasses an array of statistical techniques strategically employed to identify critical technical indicators with significant implications for time series problems. We improve the efficacy of our model by performing systematic evaluations of statistical and machine learning methods across multiple sets of features or technical indicators, resulting in a more accurate trend prediction mechanism. Notably, our approach not only achieves a substantial reduction in the computational cost of the proposed neural network model by selecting only 5% of the total technical indicators for predicting ETF trends but also enhances the accuracy rate by approximately 2%. © 2024 the author(s), published by De Gruyter.",data mining; emerging markets; ETF; feature selection; neural networks,Article,Yes,No,No,SC01,M-2114,Primary/Other,Yes,Trend,Yes,Yes,Yes,No,,Yes,2,19,A_Direct_Methodological_Priority,Detailed extraction for gap and methodology design,Low,Technical_Indicators; Optimization,stock market,market trend; trend prediction,machine learning; neural network; neural networks,accuracy,The numerical findings showcase the tangible impact of our methodology on the accuracy and efficiency of stock market trend predictions.,,,Yes,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,time series,technical indicators,,,,,,,,,,,optimized,,,,,
doi:10.14569/ijacsa.2024.0150120,Analysis of the Financial Market via an Optimized Machine Learning Algorithm: A Case Study of the Nasdaq Index,Wang L.; Xie M.,2024,International Journal of Advanced Computer Science and Applications,10.14569/ijacsa.2024.0150120,"The complex interaction among economic variables, market forces, and investor psychology presents a formidable obstacle to making accurate forecasts in the realm of finance. Moreover, the nonstationary, non-linear, and highly volatile nature of stock price time series data further compounds the difficulty of accurately predicting stock prices within the securities market. Traditional methods have the potential to enhance the precision of forecasting, although they concurrently introduce computational complexities that may lead to an increase in prediction mistakes. This paper presents a unique model that effectively handles several challenges by integrating the Moth Flame optimization technique with the random forest method. The hybrid model demonstrated superior efficacy and performance compared to other models in the present investigation. The model that was suggested exhibited a high level of efficacy, with little error and optimal performance. The study evaluated the efficacy of a suggested predictive model for forecasting stock prices by analyzing data from the Nasdaq index for the period spanning from January 1, 2015, to June 29, 2023. The results indicate that the proposed model is a reliable and effective approach for analyzing and forecasting the time series of stock prices. The experimental findings indicate that the proposed model exhibits superior performance in terms of predicting accuracy compared to other contemporary methodologies. © (2024), (Science and Information Organization). All Rights Reserved.",MFO-RF; moth-flame optimization; Nasdaq index; random forest; Stock market prediction; Commerce; Costs; Electronic trading; Financial markets; Investments; Learning algorithms; Machine learning; Time series; Case-studies; Machine learning algorithms; MFO-RF; Moth-flame optimization; Nasdaq index; Optimisations; Performance; Random forests; Stock market prediction; Stock price; Forecasting,Article,Yes,No,No,SC01,M-2048,Primary/Other,Yes,Price,Yes,Yes,Yes,No,,Yes,2,19,A_Direct_Methodological_Priority,Detailed extraction for gap and methodology design,Low,Optimization; Metaheuristic,nasdaq; stock market; stock price; stock prices,stock price; stock prices,hybrid model; machine learning; random forest,accuracy; evaluated; experimental; precision,"Moreover, the nonstationary, non-linear, and highly volatile nature of stock price time series data further compounds the difficulty of accurately predicting stock prices within the securities market. || The study evaluated the efficacy of a suggested predictive model for forecasting stock prices by analyzing data from the Nasdaq index for the period spanning from January 1, 2015, to June 29, 2023. || The results indicate that the proposed model is a reliable and effective approach for analyzing and forecasting the time series of stock prices.",,,Yes,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Yes,Unclear,Unclear,Unclear,Unclear,time series,,,,,,,,,,,,optimized,moth flame,,,,
